key,de-DE,R,en-US,R,da-DK,R,fi-FI,R,sv-SE,R,fr-FR,R,it-IT,R,es-ES,R
coin.viewer.buttonbar.fullscreen.button.close|icon,fa-compress,FALSE,fa-compress,FALSE,fa-compress,FALSE,fa-compress,FALSE,fa-compress,FALSE,fa-compress,FALSE,fa-compress,FALSE,fa-compress,FALSE
coin.viewer.buttonbar.fullscreen.button.open|icon,fa-expand,FALSE,fa-expand,FALSE,fa-expand,FALSE,fa-expand,FALSE,fa-expand,FALSE,fa-expand,FALSE,fa-expand,FALSE,fa-expand,FALSE
coin.viewer.buttonbar.fullscreen.button|tooltip,Vollbildschirm öffnen/schließen,FALSE,Open/Close fullscreen,FALSE,Åbn/luk fuldskærmsvisning,FALSE,Avaa / sulje koko ruudun näkymä,FALSE,Öppna/stäng helskärm,FALSE,Ouvrir / Fermer le mode plein écran,FALSE,,FALSE,,FALSE
coin.viewer.main.button|icon,fa-circle-thin,FALSE,fa-circle-thin,FALSE,fa-circle-thin,FALSE,fa-circle-thin,FALSE,fa-circle-thin,FALSE,fa-circle-thin,FALSE,fa-circle-thin,FALSE,fa-circle-thin,FALSE
coin.viewer.main.button|tooltip,Open coin viewer,FALSE,Open coin viewer,FALSE,Åbn coin viser,FALSE,Avaa coin viewer,FALSE,Öppna coin viewer,FALSE,Ouvrir la visionneuse d'éléments,FALSE,Open coin viewer,FALSE,Open coin viewer,FALSE
coin.viewer.main.error.json_wrong_data|icon,fa-warning,FALSE,fa-warning,FALSE,fa-warning,FALSE,fa-warning,FALSE,fa-warning,FALSE,fa-warning,FALSE,fa-warning,FALSE,fa-warning,FALSE
coin.viewer.main.error.json_wrong_data|text,The provided JSON file does not have the expected format.,FALSE,The provided JSON file does not have the expected format.,FALSE,Den leverede JSON-fil har ikke det forventede format.,FALSE,Annetulla JSON-tiedostolla ei ole odotettua muotoa.,FALSE,Den givna JSON-filen har inte det förväntade formatet.,FALSE,Le fichier JSON fourni n'a pas le format attendu.,FALSE,The provided JSON file does not have the expected format.,FALSE,The provided JSON file does not have the expected format.,FALSE
